_key,_iOSkey,_说明,_起始版本,_Android点位,_iOS点位,_服务端打点,title,action,url,status,total,item_id,ju_id,time,degrade_url
EVENT,EVENT,通用自定义事件,4.4,,,有,{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},
,IOS_WIDGET_ENTRANCE,widget活动入口,,,,,,,,,,,,,
,IOS_WIDGET_ITEM,widget商品点击,,,,,,,,,,,,,
,IOS_HOTPATCH_DOWNLOAD,补丁下载,,,,,,,,,,,,,
,IOS_HOTPATCH_PATCHING,在线补丁,,,,,,,,,,,,,
,IOS_LAUNCH,app启动,,,,,,,,,,,,,
,IOS_SLIENT_PUSH_HOMECONFIG,远程静默推送客户端首页刷新,,,,,,,,,,,,,
,IOS_SLIENT_PUSH,远程静默推送,,,,,,,,,,,,,
,WATCH_BTN_Like,AppleWatch-收藏,,,,,AppleWatch-收藏,,,,,,,,
,WATCH_CARD_MUSTBUY,AppleWatch-今日必抢,,,,,AppleWatch-今日必抢,,,,,,,,
,WATCH_REFRESH,AppleWatch-刷新 ,,,,,AppleWatch-刷新 ,,,,,,,,
SLIENT_DOWNLOAD,,静默下载文件,,,,,{(.*)?},{start|success},{(.*)?},,,,,,
EXT_LOCAL_NOTIFICATION,LOCAL_NOTIFICATION,本地开团提醒,,,,,,{show|ok},,,,,,,
,IOS_GUIDETIP,iOS利用UIAlert方式引导用户打开消息通知开关,,,,,引导提示,{(on|off)?},,,,,,,
ActionViewReceiver,,统计聚客有多少URL,,,,,,,{(.*)?},,,,,,
SHARE_STATUS,SHARE_STATUS,分享状态统计,,,,,{分享|来往|微博|微信|朋友圈|二维码|复制|更多},,,{(success)?},,,,,
SHARE_DIALOG,SHARE_DIALOG,分享对话框展示,,,,,分享对话框展示,,,,,,,,
EXT_SYSTEM_STATUS,SYSTEM_STATUS,系统环境状态,,,,,{日常|线上|预发},,,,,,,,
MISCDATA_STATUS,MISCDATA_STATUS,MistData状态,,,,,{(.*)?},,,{on|off},,,,,
ITEMDETAIL_ParallelBrowse,ITEMDETAIL_ParallelBrowse,详情页面并行浏览埋点,,,,,,{(cancel)?},,,{\d+},{(.*)?},{(.*)?},,
EXT_DATA_SIZE_ERROR,,数据大小错误,,,,,{(.*)?},,,,,,,,
EXT_BACK_TO_TOP,,列表回顶,,,,,,,,,,,,,
ANDROID_HOTPATCH_SUCCESS,,hotpatch成功,,,,,,,,,,,,,
ANDROID_HOTPATCH_ERROR,,hotpatch成功,,,,,,,,,,,,,
ILLEGEAL_SIGN_HTTP_INVOKE,,非法http签名,,,,,,,,,,,,,
EXT_TAO_PASSWORD,EXT_TAO_PASSWORD,淘口令加载,,,,,,,,,,,,,
EXT_LWP_STATUS,EXT_LWP_STATUS,来往长连接状态,,,,,,{(shutdown)?},,{on|off},,,,,
,EXT_WEBVIEW_MEMORY_WARNING,webview内存警告,,,,,,,,,,,,,
EXT_ANTI_BRUSH,EXT_ANTI_BRUSH,防刷限流埋点,,,,,,,{(.*)?},,,,,,
EXT_CART_SEPARATE_PAY,EXT_CART_SEPARATE_PAY,购物车分开付款,,,,,,,,,,,,,
,3DTouch_BTN,3DTouch入口点击,,,,,{(.*)?},,{(.*)?},,,,,,
EXT_ADDRESS_AGENCY,EXT_ADDRESS_AGENCY,修改地址-代收货,4.4,,,,,,,{(success)?},,,,,
EXT_CoreSpotLight,EXT_CoreSpotLight,app内搜索,4.4,,iOS特有,,App应用内搜索,,{(.*)?},,,,,,
,EXT_FingerPayment,指纹支付,4.4,,,,指纹支付,,,,,,,,
EXT_LUAVIEW,EXT_LUAVIEW,点位LuaView相关-下载or加载or运行or降级,4.4,,,,{(.*)?},{(download|load|run|degrade)?},{(.*)?},{(true|false)?},,,,{(.*)?},
EXT_POPLAYER,EXT_POPLAYER,PopLayer自定义事件,4.4.1,,,,,{(show|hide)?},{(.*)?},,,,,,
VOICE_REC_STATUS,VOICE_REC_STATUS,声纹识别状态,4.5.1,,,,,,,{.*},,,,,
WEEX_RENDER_SUCCESS,WEEX_RENDER_SUCCESS,,,,,,,,{.*},,,,,,{.*}
WEEX_DEGRADE_TO_H5,WEEX_DEGRADE_TO_H5,,,,,,,,{.*},,,,,,{.*}
EXT_SHOW_STAGE_NeedShow,,Show场,,,,,Show场 动画需要显示,,,,,{(.*)?},,,
EXT_SHOW_STAGE_TabbarChange,,Show场,,,,,Show场 Tabbar变形,,,,,{(.*)?},,,
EXT_SHOW_STAGE_LuaRunning,,Show场,,,,,Show场 动画脚本运行,,,,,{(.*)?},,,
EXT_SHOW_STAGE_RealShow,,Show场,,,,,Show场 动画显示成功,,,,,{(.*)?},,,
EXT_SHOW_STAGE_LongTime,,Show场,,,,,Show场 动画超时不显示,,,,,{(.*)?},,,
EXT_SHOW_STAGE_Interfere,,Show场,,,,,Show场 显示被干扰,,,,,{(.*)?},,,
